time,OH-MINCH,MINCH,oxo-MINCH,cx-MINCH,CHDA
0,0.001376698,0.004808697,0.003148601,0,0.036231728
1,2.928869042,0.430367114,0.866183286,0.628145228,39.00981977
2,12.60057522,2.95888397,4.411863504,2.077020728,96.68681312
3,23.72933157,6.072496616,9.772751559,3.971243801,173.2304178
4,30.62889267,7.481241721,11.65005081,5.968384048,294.0681254
5,39.81580826,9.466052199,14.21997033,8.062628872,396.071863
6,47.95100504,11.07647662,16.27590594,9.977366996,475.9775108
8,58.94048453,12.40714625,19.0929331,13.343545,557.3030507
10,67.27299019,13.27237311,21.3007276,15.60532941,691.5562899
12,89.77959419,14.65515576,28.05080991,19.71218625,751.4855257
14,97.11573465,15.27402155,29.82917624,21.33543969,811.7085324
18,106.9320745,16.61165212,32.29980342,24.57938218,911.8354012
22,111.4621435,16.77833857,33.31429262,25.97816676,931.0480091
26,119.2223641,16.9811467,35.30912526,27.95530483,954.8793463
30,123.7863595,17.16250758,36.40322805,29.26963579,976.3311404
34,126.1594228,17.27815336,36.98011209,30.02612831,989.9718962
38,127.616473,17.27815336,37.52554605,31.52458185,1002.653001
42,129.9463248,17.27815336,38.41369586,32.3120179,1018.510094
46,131.577471,17.33860072,38.78435733,32.77642738,1026.343981
70,132.2002885,17.33860072,38.97054171,33.31255405,1032.754712
