time,OH-MINCH,MINCH,oxo-MINCH,cx-MINCH,CHDA
0,0,0,0.003039886,0,0.042818095
1,0.195877951,0,0.119153522,0,43.01115197
2,5.935238879,0.66748804,3.529014392,0.644584786,68.30137178
3,11.1129917,1.845442068,6.900461255,1.711329985,103.1818433
4,14.91411976,2.57368956,9.418263523,2.525355981,130.6755674
5,20.50896933,3.341986334,12.04119886,3.571904627,174.2323371
6,26.45105709,3.899068243,15.9814426,4.99615504,199.8981542
8,37.04353395,4.672632761,22.72074203,7.637575626,246.2719038
10,50.01668129,6.030411675,31.20722731,11.29590576,337.7674119
12,59.71880383,6.429894247,36.41535791,13.67096791,382.388374
14,69.1469712,7.086558156,42.67841351,15.61062386,427.6353316
18,86.8783775,7.873544595,52.55687862,21.72008109,498.7108653
22,108.1328473,8.540311026,63.05670714,25.9485704,555.7640988
26,115.7926341,8.942102746,66.23765647,29.44231175,609.0989188
30,118.9732536,9.15165791,67.63403931,31.0239379,627.4280682
34,121.0909272,9.266826657,68.57933838,32.10720755,642.2015629
38,123.3264014,9.364388152,69.48510022,32.9727741,652.8685269
42,124.630428,9.364388152,70.38331405,33.89912703,661.8077432
46,125.7495349,9.418364482,70.83978927,34.49584336,665.7615311
70,128.2414312,9.418364482,72.26959904,37.39313066,681.6868576
