time,OH-MINCH,MINCH,oxo-MINCH,cx-MINCH
0,0,0,0,0.04591592
0.75,16.485498,0,0,2.7601156
1.5,309.065958,14.1945075,57.74475153,41.5661296
2.25,770.648358,38.0375955,160.5333991,130.0922096
3,986.343558,47.5190235,206.760824,189.6686396
3.75,1171.535958,56.2865085,247.2536367,241.8061396
5.083333333,1372.235058,63.0721755,288.3282176,308.2530796
6.333333333,1464.363948,65.77274925,303.8117855,343.9277396
8.25,1572.607063,67.64772213,324.1946044,370.4729924
10,1695.571975,68.41638848,345.3726465,388.5650444
12.5,1907.845267,74.04584042,383.0672852,410.4877816
17,2362.279267,83.62211582,460.6881172,451.5894946
22.25,2628.512989,89.77496829,500.5410663,495.7739161
24,2708.8105,92.90826726,512.1155086,512.0486149
26.5,2770.385042,96.28856484,522.4624675,533.3809325
29.08333333,2830.686602,99.1099262,531.2259388,555.1344241
32.16666667,2867.839645,101.3742816,536.221963,583.9738918
35.5,2920.538893,103.5825887,540.8045703,598.7764798
46.25,3112.707998,111.3668423,559.1791448,640.713487
48,3140.857188,112.6664618,561.7760741,650.8236903
