time,OH-MINCH,MINCH,cx-MINCH
0.75,94.3722,13.23972,8.29738
1.5,437.6619,53.39358,41.31424
2.25,639.3489,77.10543,67.21518
3,720.8673,86.69988,80.22288
3.75,951.27,110.893005,120.49146
5,1417.2036,178.519905,185.53578
6.333333333,1941.279,234.204975,287.0715
7.916666667,2248.31277,260.6095845,352.28751
9.916666667,2504.41641,280.8156825,407.47857
12.16666667,2903.56131,313.1997975,489.01677
14.66666667,3200.68611,338.3320815,558.56577
18.25,3910.47561,391.9088565,699.49707
21.91666667,4128.83925,411.3407745,750.28627
23.91666667,4197.89013,416.1026025,768.72403
26.41666667,4243.07157,419.3417385,783.06451
29.08333333,4294.41906,423.127044,796.542078
31.41666667,4346.85102,426.7438515,811.105949
35.25,4414.29018,430.7538969,832.650425
45.5,4495.4889,436.9837689,862.541945
48,4520.373102,439.1308971,878.909143
