time,DPHP,MPHP,OH,OXO
0.25,0.0009014,0.652802,0.122431641,0.239352963
0.5,0.0009014,32.6401,2.448639663,2.180710926
0.75,0.0009014,60.710586,11.01887506,5.580928859
1,3.6056,58.099378,11.01887506,10.68314498
2,9.014,156.67248,34.1584716,27.44489871
3,61.2952,92.697884,40.03523693,21.83767727
4,52.2812,29.37609,13.34507898,12.58305913
5,53.1826,17.625654,7.590756249,5.759904897
6,54.084,10.444832,4.285114275,2.827016689
7,36.056,7.180822,4.529978926,1.596140289
8,27.042,11.750436,7.345939534,3.039835394
10,25.2392,13.05604,8.325343355,4.95493142
24,6.3098,0.000652802,4.652407828,0.00680802
