time,DPHP,MPHP,OH,OXO
0.25,0.0009014,24.153674,2.326203914,2.185857789
0.5,0.0009014,56.793774,10.28428796,9.718176229
0.75,0.9014,70.502616,17.38534229,20.41269061
1,1.8028,78.33624,21.18072042,27.94637746
2,18.028,97.9203,29.75094897,45.68065684
3,101.8582,90.086676,33.1789993,64.14441556
4,159.5478,26.11208,14.69181059,29.35999473
5,144.224,16.972852,8.325343355,16.21479739
6,117.182,19.58406,7.468313652,14.01165404
7,125.2946,29.37609,9.427258253,16.42788842
8,78.4218,16.32005,6.856169144,12.0364432
10,49.577,11.750436,5.999159985,10.06096004
24,9.9154,0.000652802,1.224316408,1.945146626
